Rank,Agent,Gen,Gender,Pregnancy,Children,Heterozygous,Homozygous,Size,Life,Stamina,Hunger,Starving
0,Sheep,1,Female,0,0,0,0,25,71408,10043424,20086898,false
1,Sheep,1,Male,0,0,0,0,12,60839,10000000,20000024,false
2,Sheep,1,Female,0,0,0,0,24,59985,10037204,20074456,false
3,Sheep,1,Male,0,0,0,0,20,58570,10000242,20000524,false
4,Sheep,1,Female,0,0,0,0,20,46508,9999989,20000018,false
5,Sheep,1,Male,0,0,0,0,18,42454,10402918,20805872,false
6,Sheep,1,Female,0,0,0,0,20,62456,9825484,19651008,false
7,Sheep,1,Male,0,0,0,0,19,51929,10009716,20019470,false
8,Sheep,1,Female,0,0,0,0,19,59983,9999973,19999984,false
9,Sheep,1,Male,0,0,0,0,20,57521,10005291,20010622,false
10,Sheep,1,Female,0,0,0,0,20,58988,9996946,19993932,false
11,Sheep,1,Male,0,0,0,0,20,42585,10000689,20001418,false
12,Sheep,1,Female,0,0,0,0,20,60197,10378525,20757090,false
13,Sheep,1,Male,0,0,0,0,19,61892,6845400,13690838,false
14,Sheep,1,Female,0,0,0,0,25,45004,9990784,19981618,false
15,Sheep,1,Male,0,0,0,0,20,45722,9990919,19981878,false
16,Sheep,1,Female,0,0,0,0,22,72163,10000000,20000044,false
17,Sheep,1,Male,0,0,0,0,19,61138,10075581,20151200,false
18,Sheep,1,Female,0,0,0,0,18,59986,9724078,19448192,false
19,Sheep,1,Male,0,0,0,0,19,60985,10001001,20002040,false
20,Sheep,1,Female,0,0,0,0,23,55622,10074821,20149688,false
21,Sheep,1,Male,0,0,0,0,25,59972,9530395,19060840,false
22,Sheep,1,Female,0,0,0,0,24,59985,9970397,19940842,false
23,Sheep,1,Male,0,0,0,0,22,59933,6819172,13638388,false
24,Sheep,1,Female,0,0,0,0,19,61534,8732918,17465874,false
25,Sheep,1,Male,0,0,0,0,19,59985,9995403,19990844,false
26,Sheep,1,Female,0,0,0,0,20,59983,9992735,19985510,false
27,Sheep,1,Male,0,0,0,0,19,71169,7455207,14910452,false
28,Sheep,1,Female,0,0,0,0,22,59986,9998435,19996914,false
29,Sheep,1,Male,0,0,0,0,19,60786,9717105,19434248,false
30,Sheep,1,Female,0,0,0,0,27,42848,7135029,14270112,false
31,Sheep,1,Male,0,0,0,0,23,59986,10000000,20000046,false
32,Sheep,1,Female,0,0,0,0,27,59986,10812159,21624372,false
33,Sheep,1,Male,0,0,0,0,19,59982,9201669,18403376,false
34,Sheep,1,Female,0,0,0,0,20,59986,9977079,19954198,false
35,Sheep,1,Male,0,0,0,0,19,59987,11196119,22392276,false
36,Sheep,1,Female,0,0,0,0,19,59994,9061997,18124032,false
37,Sheep,1,Male,0,0,0,0,20,61546,9565465,19130970,false
38,Sheep,1,Female,0,0,0,0,19,59987,10042404,20084846,false
39,Sheep,1,Male,0,0,0,0,19,55630,10032347,20064732,false
40,Sheep,1,Female,0,0,0,0,19,59977,7398089,14796216,false
41,Sheep,1,Male,0,0,0,0,20,59985,10175996,20352032,false
42,Sheep,1,Female,0,0,0,0,19,59985,10002105,20004248,false
43,Sheep,1,Male,0,0,0,0,18,59947,8828875,17657786,false
44,Sheep,1,Female,0,0,0,0,20,80734,10986389,21972818,false
45,Sheep,1,Male,0,0,0,0,19,59033,9202517,18405072,false
46,Sheep,1,Female,0,0,0,0,20,66115,9989975,19979990,false
47,Sheep,1,Male,0,0,0,0,19,60294,7651560,15303158,false
48,Sheep,1,Female,0,0,0,0,18,59562,11052471,22104978,false
49,Sheep,1,Male,0,0,0,0,19,59977,9999949,19999936,false
